Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Walking duration (ms),Running duration (ms)
00:00:00.000+05:30,00:15:00.000+05:30,,13.9531247826914,,,,,,,,,,24,,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,13.9531247826914,,,,,,,,,,24,,,,,
00:30:00.000+05:30,00:45:00.000+05:30,,13.9531247826914,,,,,,,,,,24,,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,13.9531247826914,,,,,,,,,,24,,,,,
01:00:00.000+05:30,01:15:00.000+05:30,,13.9531247826914,,,,,,,,,,24,,,,,
01:15:00.000+05:30,01:30:00.000+05:30,,13.9531247826914,,,,,,,,,,24,,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,13.9531247826914,,,,,,,,,,24,,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,13.9531247826914,,,,,,,,,,24,,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,13.9531247826914,,,,,,,,,,24,,,,,
02:15:00.000+05:30,02:30:00.000+05:30,,13.9531247826914,,,,,,,,,,24,,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,13.9531247826914,,,,,,,,,,24,,,,,
02:45:00.000+05:30,03:00:00.000+05:30,,13.9531247826914,,,,,,,,,,24,,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,13.9531247826914,,,,,,,,,,24,,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,13.9531247826914,,,,,,,,,,24,,,,,
03:30:00.000+05:30,03:45:00.000+05:30,,13.9531247826914,,,,,,,,,,24,,,,,
03:45:00.000+05:30,04:00:00.000+05:30,,13.9531247826914,,,,,,,,,,24,,,,,
04:00:00.000+05:30,04:15:00.000+05:30,,13.9531247826914,,,,,,,,,,24,,,,,
04:15:00.000+05:30,04:30:00.000+05:30,,13.9531247826914,,,,,,,,,,24,,,,,
04:30:00.000+05:30,04:45:00.000+05:30,,13.9531247826914,,,,,,,,,,24,,,,,
04:45:00.000+05:30,05:00:00.000+05:30,,13.9531247826914,,,,,,,,,,24,,,,,
05:00:00.000+05:30,05:15:00.000+05:30,,13.9531247826914,,,,,,,,,,24,,,,,
05:15:00.000+05:30,05:30:00.000+05:30,,13.9531247826914,,,,,,,,,,24,,,,,
05:30:00.000+05:30,05:45:00.000+05:30,,13.9531247826914,,,,,,,,,,24,,,,,
05:45:00.000+05:30,06:00:00.000+05:30,,13.9531247826914,,,,,,,,,,24,,,,,
06:00:00.000+05:30,06:15:00.000+05:30,,13.9531247826914,,,,,,,,,,24,,,,,
06:15:00.000+05:30,06:30:00.000+05:30,,13.9531247826914,,,,,,,,,,24,,,,,
06:30:00.000+05:30,06:45:00.000+05:30,,13.9531247826914,,,,,,,,,,24,,,,,
06:45:00.000+05:30,07:00:00.000+05:30,,13.9531247826914,,,,,,,,,,24,,,,,
07:00:00.000+05:30,07:15:00.000+05:30,,13.9531247826914,,,,,,,,,,24,,,,,
07:15:00.000+05:30,07:30:00.000+05:30,,13.9531247826914,,,,,,,,,,24,,,,,
07:30:00.000+05:30,07:45:00.000+05:30,,13.9531247826914,,,,,,,,,,24,,,,,
07:45:00.000+05:30,08:00:00.000+05:30,1,16.386013245133697,41.937563984401564,,,,,,0.3038953754063733,0.3038953754063733,0.3038953754063733,24,,,,60159,
08:00:00.000+05:30,08:15:00.000+05:30,,13.953124782691397,,,,,,,,,,24,,,,,
08:15:00.000+05:30,08:30:00.000+05:30,,13.953124782691397,,,,,,,,,,24,,,,,
08:30:00.000+05:30,08:45:00.000+05:30,3,20.334233774619037,70.14270434155642,,,,,,0.38782499267693715,0.4810506363650804,0.301518455220674,24,,,,,67231
08:45:00.000+05:30,09:00:00.000+05:30,3,16.201333625216275,81.21812458143286,,,79.5,82.0,77.0,0.7106792670987148,0.8772565340688031,0.5773768284356395,23,,,,,23687
09:00:00.000+05:30,09:15:00.000+05:30,2,15.009744059769412,69.41760394495851,,,88.5,107.0,75.0,0.829165453684177,1.1913443833721935,0.4669865239961607,24,,,,26128,
09:15:00.000+05:30,09:30:00.000+05:30,3,23.98523593981063,229.41947889330578,2.0,2,88.25,93.0,76.0,1.4385098598376969,1.6533995809274091,1.2932579230806476,27,,,,248068,
09:30:00.000+05:30,09:45:00.000+05:30,,13.953124782691399,,,,87.75,114.0,79.0,,,,28,,,,,
09:45:00.000+05:30,10:00:00.000+05:30,,13.953124782691399,,,,100.25,102.0,95.0,,,,28,,,,,
10:00:00.000+05:30,10:15:00.000+05:30,,13.953124782691399,,,,87.75,95.0,82.0,,,,28,,,,,
10:15:00.000+05:30,10:30:00.000+05:30,1,13.953124782691399,,,,81.25,85.0,73.0,,,,28,,,,,
10:30:00.000+05:30,10:45:00.000+05:30,14,48.331995474062545,1128.7706812076526,13.0,10,81.25,82.0,80.0,1.3040550493179517,2.424884066971523,0.30389537354658636,397,,,,850100,
10:45:00.000+05:30,11:00:00.000+05:30,3,16.92484876223972,278.9610399713792,,,83.75,95.0,80.0,0.3339235589234697,0.3934878415464341,0.2825560814449688,418,,,,73483,
11:00:00.000+05:30,11:15:00.000+05:30,5,30.104763893014116,337.93625342143025,,,91.25,95.0,85.0,0.5827534579907099,0.8731639028683785,0.27350585207218414,418,,,,399388,
11:15:00.000+05:30,11:30:00.000+05:30,,13.9531247826914,254.3004877143429,,,92.0,106.0,73.0,0.282556097460381,0.282556097460381,0.282556097460381,418,,,,,
11:30:00.000+05:30,11:45:00.000+05:30,,13.9531247826914,14.230655292494628,,,89.0,97.0,83.0,,,,96,,,,,
11:45:00.000+05:30,12:00:00.000+05:30,,13.9531247826914,,,,82.0,96.0,68.0,,,,77,,,,,
12:00:00.000+05:30,12:15:00.000+05:30,,13.9531247826914,,,,93.25,100.0,76.0,,,,77,,,,,
12:15:00.000+05:30,12:30:00.000+05:30,,13.9531247826914,,,,84.75,90.0,79.0,,,,77,,,,,
12:30:00.000+05:30,12:45:00.000+05:30,,13.9531247826914,,,,92.0,110.0,81.0,,,,77,,,,,
12:45:00.000+05:30,13:00:00.000+05:30,,13.9531247826914,,,,85.5,93.0,79.0,,,,77,,,,,
13:00:00.000+05:30,13:15:00.000+05:30,6,33.451982301887675,289.9037193832231,,,80.0,88.0,72.0,0.9325714346753494,1.243857779387095,0.3721470449528793,77,,,,482156,
13:15:00.000+05:30,13:30:00.000+05:30,1,16.020389807179093,68.98575801989661,,,78.5,83.0,77.0,0.8116647205586374,1.1396180560717402,0.2986724840552905,77,,,,51118,
13:30:00.000+05:30,13:45:00.000+05:30,,13.9531247826914,,,,82.75,89.0,74.0,,,,191,,,,,
13:45:00.000+05:30,14:00:00.000+05:30,,31.819744212281236,15.802560341948416,,,85.75,98.0,77.0,0.26389143823639405,0.26389143823639405,0.26389143823639405,258,,,,441795,
14:00:00.000+05:30,14:15:00.000+05:30,4,45.603119534158616,162.31739418381693,,,88.25,104.0,78.0,0.3955399625594813,1.348420372807211,0.2532461593260964,258,,,,782622,
14:15:00.000+05:30,14:30:00.000+05:30,,13.953124782691399,,,,79.25,83.0,77.0,,,,258,,,,,
14:30:00.000+05:30,14:45:00.000+05:30,,13.9531247826914,19.449305036244205,,,91.0,91.0,91.0,0.3038953717420119,0.3038953717420119,0.3038953717420119,111,,,,,
14:45:00.000+05:30,15:00:00.000+05:30,,13.953124782691399,8.50907095335684,,,,,,0.7111935086942811,0.7111935086942811,0.7111935086942811,29,,,,,
15:00:00.000+05:30,15:15:00.000+05:30,,13.953124782691399,,,,,,,,,,,,,,,
15:15:00.000+05:30,15:30:00.000+05:30,,13.953124782691399,,,,,,,,,,9,,,,,
15:30:00.000+05:30,15:45:00.000+05:30,,13.953124782691399,,,,,,,,,,,,,,,
15:45:00.000+05:30,16:00:00.000+05:30,,18.433863208749333,,,,82.5,83.0,82.0,,,,24,,,,110797,
16:00:00.000+05:30,16:15:00.000+05:30,,13.9531247826914,,,,81.5,83.0,81.0,,,,,,,,,
16:15:00.000+05:30,16:30:00.000+05:30,,13.9531247826914,,,,86.0,89.0,79.0,,,,,,,,,
16:30:00.000+05:30,16:45:00.000+05:30,,13.9531247826914,,,,84.5,87.0,81.0,,,,,,,,,
16:45:00.000+05:30,17:00:00.000+05:30,,13.9531247826914,,,,88.0,88.0,88.0,,,,,,,,,
17:00:00.000+05:30,17:15:00.000+05:30,,13.9531247826914,,,,,,,,,,,,,,,
17:15:00.000+05:30,17:30:00.000+05:30,,13.9531247826914,,,,,,,,,,,,,,,
17:30:00.000+05:30,17:45:00.000+05:30,,13.9531247826914,,,,,,,,,,,,,,,
17:45:00.000+05:30,18:00:00.000+05:30,1,16.652317048807003,26.13500364245315,,,,,,0.8321913743342176,0.8321913743342176,0.8321913743342176,81,,,,66744,
18:00:00.000+05:30,18:15:00.000+05:30,3,23.677601462279444,199.24039895799882,1.0,1,,,,1.0526648400786764,1.8085396881721567,0.30389538300213487,308,,,,240461,
18:15:00.000+05:30,18:30:00.000+05:30,,13.953124782691397,,,,,,,,,,,,,,,
18:30:00.000+05:30,18:45:00.000+05:30,,13.953124782691397,,,,,,,,,,,,,,,
18:45:00.000+05:30,19:00:00.000+05:30,,13.953124782691397,,,,,,,,,,,,,,,
19:00:00.000+05:30,19:15:00.000+05:30,,13.953124782691397,,,,,,,,,,,,,,,
19:15:00.000+05:30,19:30:00.000+05:30,,13.953124782691397,,,,,,,,,,,,,,,
19:30:00.000+05:30,19:45:00.000+05:30,,13.953124782691397,,,,,,,,,,,,,,,
19:45:00.000+05:30,20:00:00.000+05:30,,13.953124782691397,,,,,,,,,,,,,,,
20:00:00.000+05:30,20:15:00.000+05:30,,13.953124782691397,,,,,,,,,,,,,,,
20:15:00.000+05:30,20:30:00.000+05:30,,13.953124782691397,,,,,,,,,,,,,,,
20:30:00.000+05:30,20:45:00.000+05:30,,13.953124782691397,,,,,,,,,,,,,,,
20:45:00.000+05:30,21:00:00.000+05:30,,13.953124782691397,,,,,,,,,,,,,,,
21:00:00.000+05:30,21:15:00.000+05:30,,13.953124782691397,,,,,,,,,,,,,,,
21:15:00.000+05:30,21:30:00.000+05:30,,13.953124782691397,,,,,,,,,,,,,,,
21:30:00.000+05:30,21:45:00.000+05:30,,13.953124782691397,,,,,,,,,,,,,,,
21:45:00.000+05:30,22:00:00.000+05:30,,13.953124782691397,,,,,,,,,,,,,,,
22:00:00.000+05:30,22:15:00.000+05:30,,13.953124782691397,,,,,,,,,,,,,,,
22:15:00.000+05:30,22:30:00.000+05:30,,13.953124782691397,,,,,,,,,,,,,,,
22:30:00.000+05:30,22:45:00.000+05:30,,13.953124782691397,,,,,,,,,,,,,,,
22:45:00.000+05:30,23:00:00.000+05:30,,13.953124782691397,,,,,,,,,,,,,,,
23:00:00.000+05:30,23:15:00.000+05:30,1,17.933487056456265,15.774066656754709,,,,,,,,,51,,,,98424,
23:15:00.000+05:30,23:30:00.000+05:30,2,21.05395293272599,190.6053636577431,3.0,2,,,,1.770435845054004,1.8000917750102152,1.7407799150977932,280,,,,175585,
23:30:00.000+05:30,23:45:00.000+05:30,,13.953124782691399,43.15314554916683,,,,,,0.383590456787993,0.46328553652961874,0.30389537704636727,84,,,,,
23:45:00.000+05:30,00:00:00.000+05:30,,13.9531247826914,,,,,,,,,,1,,,,,
