Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg)
00:00:00.000+05:30,00:15:00.000+05:30,,13.953124782691399,,,,79.0,79.0,79.0,,,,61,,,
00:15:00.000+05:30,00:30:00.000+05:30,,13.953124782691399,,,,84.25,89.0,72.0,,,,61,,,
00:30:00.000+05:30,00:45:00.000+05:30,,13.953124782691399,,,,103.0,109.0,89.0,,,,61,,,
00:45:00.000+05:30,01:00:00.000+05:30,,13.953124782691399,,,,91.5,100.0,83.0,,,,61,,,
01:00:00.000+05:30,01:15:00.000+05:30,,13.953124782691399,,,,91.5,97.0,83.0,,,,61,,,
01:15:00.000+05:30,01:30:00.000+05:30,,13.953124782691399,,,,92.0,101.0,89.0,,,,61,,,
01:30:00.000+05:30,01:45:00.000+05:30,,13.953124782691399,,,,90.75,104.0,79.0,,,,61,,,
01:45:00.000+05:30,02:00:00.000+05:30,,13.953124782691399,,,,96.75,102.0,86.0,,,,61,,,
02:00:00.000+05:30,02:15:00.000+05:30,,13.953124782691399,,,,96.75,105.0,88.0,,,,61,,,
02:15:00.000+05:30,02:30:00.000+05:30,,13.953124782691399,,,,84.25,88.0,80.0,,,,61,,,
02:30:00.000+05:30,02:45:00.000+05:30,,13.953124782691399,,,,86.0,101.0,78.0,,,,61,,,
02:45:00.000+05:30,03:00:00.000+05:30,,13.953124782691399,,,,84.0,87.0,78.0,,,,61,,,
03:00:00.000+05:30,03:15:00.000+05:30,,13.953124782691399,,,,81.75,89.0,74.0,,,,61,,,
03:15:00.000+05:30,03:30:00.000+05:30,,13.953124782691399,,,,88.75,89.0,88.0,,,,61,,,
03:30:00.000+05:30,03:45:00.000+05:30,,13.953124782691399,,,,87.5,89.0,85.0,,,,61,,,
03:45:00.000+05:30,04:00:00.000+05:30,,13.953124782691399,,,,82.25,98.0,73.0,,,,61,,,
